id,category,phrase
810,remembering,If I recall correctly, it was a Tuesday
811,remembering,As I remember it, things were different
812,remembering,Now I remember where I put my keys
813,forgetting,I completely forgot about our meeting today
814,forgetting,I can't remember what I was supposed to do
815,forgetting,It completely slipped my mind yesterday
816,forgetting,I don't recall ever saying that to you
817,reminding,Don't forget to call your mother today
818,reminding,Remember to bring your umbrella with you
819,reminding,Keep in mind that the deadline is Friday
820,reminding,Just so you know, the store closes early
821,promising,I promise I'll be there on time
822,promising,I swear I didn't tell anyone your secret
823,promising,I give you my word that I'll help
824,promising,You have my word that this won't happen again
825,threatening,You'd better do what I say right now
826,threatening,Don't make me come over there
827,threatening,If you don't stop, there will be consequences
828,warning_consequences,Be careful or you'll hurt yourself badly
829,warning_consequences,If you don't study, you'll fail the test
830,warning_consequences,You need to leave now, otherwise you'll be late
831,predicting,I think it will probably rain this afternoon
832,predicting,I predict that prices will go up next year
833,predicting,It's very likely to snow tonight
834,predicting,This will probably take longer than expected
835,hoping,I really hope everything works out for you
836,hoping,Hopefully the weather will be nice tomorrow
837,hoping,I wish I could come to your party
838,hoping,If only I had more time to finish this
839,regretting,I wish I had studied harder in school
840,regretting,I should have listened to your advice
841,regretting,If only I had taken that job offer
842,regretting,I deeply regret not spending more time with family
843,blaming,This is entirely your fault, you know
844,blaming,You're the one to blame for this mess
845,blaming,You caused this whole situation to happen
846,defending,It's not my fault that this happened
847,defending,I didn't do anything wrong at all
848,defending,I'm completely innocent in this situation
849,defending,You can't blame me for something I didn't do
850,accusing,I know it was you who took my phone
851,accusing,You're not telling me the truth right now
852,accusing,You did this and you know it
853,denying,I absolutely did not do that
854,denying,That's not true at all, I swear
855,denying,I never said anything like that to you
856,denying,You're completely wrong about this whole thing
857,admitting,You're right, I should have told you
858,admitting,I have to admit that I made a mistake
859,admitting,I confess that I ate the last cookie
860,admitting,It's true, I was the one who broke it
861,insisting,I really insist that you take this money
862,insisting,I'm telling you, this is the truth
863,insisting,I'm completely serious about what I'm saying
864,insisting,Trust me, I know what I'm talking about
865,persuading,Come on, just give it a try this once
866,persuading,Just try it, I think you'll really like it
867,persuading,Give it a chance, you might be surprised
868,persuading,What do you say we go ahead with this?
869,yielding,Fine, I'll do it your way this time
870,yielding,Okay, you win this argument
871,yielding,If you really insist, then I'll agree
872,yielding,Have it your way, I don't care anymore
873,refusing,There's absolutely no way I'm doing that
874,refusing,Absolutely not, I completely refuse
875,refusing,I will not change my mind about this
876,refusing,I won't do it no matter what you say
877,demanding,I want you to give it to me right now
878,demanding,You absolutely must finish this today
879,demanding,I insist that you tell me the truth
880,demanding,This needs to be done immediately
881,begging,Please, I'm begging you to help me
882,begging,Pretty please with sugar on top
883,begging,I'm desperately asking for your help
884,commanding,Do exactly what I tell you to do
885,commanding,Stop doing that right this instant
886,commanding,Come here immediately when I call you
887,commanding,Listen carefully to what I'm about to say
888,commanding,Pay close attention to these instructions
889,obeying,Yes sir, I'll do it right away
890,obeying,I'll take care of it immediately
891,obeying,As you wish, I'll get started now
892,disobeying,I absolutely will not do what you say
893,disobeying,You can't make me do anything
894,disobeying,No, I refuse to follow your orders
895,instructing,First, you need to gather all the materials
896,instructing,Then, you should carefully read the directions
897,instructing,Make sure you double check your work
898,instructing,Don't forget to save your progress regularly
899,following_instructions,Got it, I understand what to do
900,following_instructions,Understood, I'll follow those steps exactly
901,following_instructions,I'll make sure to do that right away
902,asking_for_clarification,What exactly do you mean by that?
903,asking_for_clarification,I'm sorry, but I don't understand what you're saying
904,asking_for_clarification,Can you please explain that in more detail?
905,asking_for_clarification,Could you clarify what you meant?
906,clarifying,What I mean is that we should wait
907,clarifying,Let me explain this in a different way
908,clarifying,In other words, we have no other options
909,clarifying,To put it simply, we can't afford it
910,confirming,Is that the right answer to the question?
911,confirming,Am I correct in thinking that?
912,confirming,So what you're saying is correct, right?
913,confirming_understanding,Do you understand what I'm trying to say?
914,confirming_understanding,Does that make sense to you now?
915,confirming_understanding,Are you following what I'm explaining?
916,confirming_understanding,Do you get what I mean?
917,expressing_understanding,I see exactly what you're talking about
918,expressing_understanding,I completely get what you're saying
919,expressing_understanding,I understand the point you're making
920,expressing_understanding,That makes perfect sense to me now
921,expressing_confusion,I'm really confused about what you said
922,expressing_confusion,I don't get what you're trying to tell me
923,expressing_confusion,I'm completely lost and need help
924,expressing_confusion,This doesn't make any sense to me at all
925,correcting,Actually, that's not quite how it happened
926,correcting,No, that's not the right way to do it
927,correcting,Let me correct you on that point
928,correcting,To be more precise, it was on Wednesday
929,accepting_correction,Oh, you're absolutely right about that
930,accepting_correction,That's my mistake, I apologize
931,accepting_correction,I stand corrected, thank you for pointing that out
932,rejecting_correction,No, I'm right and you're wrong
933,rejecting_correction,I disagree with your correction completely
934,rejecting_correction,That's exactly what I said in the first place
935,complaining,This is absolutely terrible and unacceptable
936,complaining,I'm really not happy about this situation
937,complaining,This isn't nearly good enough for me
938,complaining,I want to make an official complaint
939,defending_oneself,In my defense, I did try my best
940,defending_oneself,Let me explain what really happened here
941,defending_oneself,It's not what you think at all
942,praising,You did a really great job on this
943,praising,That was an excellent presentation you gave
944,praising,You're doing amazingly well at this
945,praising,I'm very impressed with your work
946,criticizing,That's not good enough by any standard
947,criticizing,You could definitely do much better than this
948,criticizing,That's completely wrong and needs to be fixed
949,criticizing,I'm not impressed with your effort at all
950,accepting_praise,Thank you so much for the kind words
951,accepting_praise,I really appreciate you saying that
952,accepting_praise,That means a lot coming from you
953,deflecting_praise,It was really nothing special at all
954,deflecting_praise,Anyone could have done the same thing
955,deflecting_praise,I just got lucky this time
956,accepting_criticism,You're right, I need to improve
957,accepting_criticism,I'll definitely try to do better next time
958,accepting_criticism,Point taken, I understand what you mean
959,rejecting_criticism,That's not a fair assessment at all
960,rejecting_criticism,You're wrong about my performance
961,rejecting_criticism,I did the best I possibly could
962,boasting,I'm definitely the best at what I do
963,boasting,Nobody can do this better than me
964,boasting,I'm so good at this, it's almost unfair
965,being_modest,I'm really not that good at it
966,being_modest,It was nothing, anyone could do it
967,being_modest,I just got lucky, that's all
968,envying,I wish I had what you have
969,envying,I'm so jealous of your success
970,envying,You're incredibly lucky to have that
971,bragging,Look at what I managed to accomplish today
972,bragging,I told you I could do it
973,bragging,I knew I was right all along
974,humility,I could be completely wrong about this
975,humility,I'm not perfect and I make mistakes
976,humility,I still have so much more to learn
977,arrogance,I know everything there is to know
978,arrogance,I'm always right and never wrong
979,arrogance,I'm much better than you'll ever be
980,politeness,If you don't mind me saying so
981,politeness,With all due respect to your opinion
982,politeness,Pardon me for interrupting your conversation
983,politeness,Excuse me for asking such a question
984,rudeness,Just get lost and leave me alone
985,rudeness,Mind your own business and stop bothering me
986,rudeness,I don't care what you think at all
987,formality,I would like to formally request your assistance
988,formality,I am very pleased to make your acquaintance
989,formality,May I respectfully inquire about the matter?
990,informality,Hey, what's going on with you?
991,informality,What's up, how are you doing?
992,informality,Yeah, that sounds good to me
993,informality,Nope, I don't think so
994,starting_conversation,Hi there, how have you been lately?
995,starting_conversation,How's everything going in your life?
996,starting_conversation,What have you been up to recently?
997,ending_conversation,I really have to go now, sorry
998,ending_conversation,I'll talk to you later this week
999,ending_conversation,It was really nice talking to you today
1000,ending_conversation,I hope to see you again very soon
